"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[2263]","CONVERGENT MARGIN","BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / NEW GUINEA / DABI","CAPE VOGEL PENINSULA","-9.8","-9.8","149.9","149.9","SAE","","","s_52.1A [2263]","BONINITE [2263]","","","","","","","","","VOL","","","","","WR [2263] ","54.41","0.21","","10.93","","1.47","6.98","","7.98","10.65","0.17","","0.41","1.01","0.03","","3.39","2.05","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","","203","510","","","","134","","","","","","","","8","83","8","25","1","","","","","","","","","","","","","28","1.75","3.96","0.54","2.54","0.73","0.24","0.83","0.16","1.07","0.25","0.74","","0.73","","0.6","","","","","","","","","","0.8","","0.3","0.1","0.51212","","","0.70538","","","","","","","","","","","","","","","","","","","","","112468",
"[2263]","CONVERGENT MARGIN","NEW CALEDONIA / NEW CALEDONIA / POYA TERRANE","NEPOUI","-22","-22","163","168","SAE","","","s_49 [2263]","BONINITE [2263]","","","","","","","","","VOL","","","","","WR [2263] ","54.52","0.23","","9.36","","2.35","4.88","","3.55","14.62","0.27","","0.41","1.93","0.03","","4.66","2.96","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","","105","1100","","","","400","","","","","","","","6","325","7","63","1.5","","","","","","","","","","","","","54","4.4","10.39","1.24","5.37","1.27","0.39","1.28","0.22","1.34","0.27","0.77","","0.75","","1.7","","","","","","","","","","3.4","","0.4","0.2","0.51223","","","0.70638","","","","","","","","","","","","","","","","","","","","","112469",
"[2263]","CONVERGENT MARGIN","NEW CALEDONIA / NEW CALEDONIA / POYA TERRANE","NEPOUI","-22","-22","163","168","SAE","","","s_52 [2263]","BONINITE [2263]","","","","","","","","","VOL","","","","","WR [2263] ","59.64","0.3","","10.48","","1.28","5.71","","3.97","10.55","0.15","","0.57","2.64","0.05","","3.96","0.56","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","","96","655","","","","194","","","","","","","","13","131","12","78","2","","","","","","","","","","","","","52","4.99","11.9","1.41","5.88","1.46","0.49","1.55","0.26","1.72","0.37","1.12","","1.12","","1.6","","","","","","","","","","2.1","","0.5","0.3","0.51222","","","0.70404","","","","","","","","","","","","","","","","","","","","","112470",
"[2263]","CONVERGENT MARGIN","NEW ZEALAND / COROMANDEL-TAUPO / TAUPO VOLCANIC ZONE","NAGAHAPE","-39","-40","175","177","SAE","","","s_6 [2263]","BONINITE [2263]","","","","","","","","","VOL","","","","","WR [2263] ","52.87","0.17","","12.53","","2.17","6.82","","10.07","10.84","0.18","","0.15","1.45","0.01","","0.93","1.05","","0.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","","169","935","","","","210","","","","","","","","3","38","6","8","0.5","","","","","","","","","","","","","70","0.48","1","0.13","0.71","0.28","0.11","0.44","0.1","0.84","0.19","0.62","","0.76","","0.2","","","","","","","","","","0","","0","0","0.51208","","","0.7062","","","","","","","","","","","","","","","","","","","","","112471",
"[2263]","CONVERGENT MARGIN","NEW ZEALAND / COROMANDEL-TAUPO / TAUPO VOLCANIC ZONE","NAGAHAPE","-39","-40","175","177","SAE","","","s_201 [2263]","BONINITE [2263]","","","","","","","","","VOL","","","","","WR [2263] ","53.8","0.31","","11.4","","1.57","6.06","","8.73","12.54","0.16","","0.15","1.3","0.02","","2.77","1.02","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","","204","960","","","","268","","","","","","","","3","63","9","18","1","","","","","","","","","","","","","12","0.88","2.22","0.36","1.91","0.73","0.27","0.96","0.2","1.39","0.32","1.03","","1.04","","0.7","","","","","","","","","","1.1","","0.1","0","0.51209","","","0.70432","","","","","","","","","","","","","","","","","","","","","112472",
"[2263]","","","","","","","","","","","s_116 [2263]","BONINITE [2263]","","","","","","","","","VOL","","","","","WR [2263] ","49.54","0.25","","11.95","","2.39","5.41","","10.45","11.02","0.15","","0.21","0.86","0.02","","5.04","2.27","","0.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","","220","800","","","","261","","","","","","","","5","328","8","7","1","","","","","","","","","","","","","45","0.56","1.15","0.15","0.87","0.44","0.18","0.82","0.16","1.28","0.33","1.02","","1.11","","0.3","","","","","","","","","","1.3","","0.1","0","0.51212","","","0.70624","","","","","","","","","","","","","","","","","","","","","112474",
"[4553]","CONVERGENT MARGIN","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / NORTH FIJI BASIN / DREDGE N17-81","","-22.97","-22.97","172.45","172.45","SAQ","-3040","-3480","s_81/18 [4553]","BONINITE [4553]","","","","","","","","","VOL","","","F","","WR [4553] ","57.32","0.23","","17.72","","","","8.51","9.39","3.12","0.1","","0.29","1.34","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112749",
"[4553]","CONVERGENT MARGIN","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / NORTH FIJI BASIN / DREDGE N17-76","","-23.1","-23.1","172.47","172.47","SAQ","-6200","-6280","s_76/35 [4553]","BONINITE [4553]","","","","","","","","","VOL","","","F","","WR [4553] ","56.09","0.17","","15.03","","","","8","11.22","5.82","0.13","","0.28","1.06","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112750",
"[4553]","CONVERGENT MARGIN","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / NORTH FIJI BASIN / DREDGE N17-78","","-23.07","-23.07","172.43","172.43","SAQ","-4650","-5280","s_78/66 [4553]","BONINITE [4553]","","","","","","","","","VOL","","","F","","WR [4553] ","55.83","0.19","","13.85","","","","8.3","12.3","8.07","0.08","","0.22","0.88","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112751",
"[4553]","CONVERGENT MARGIN","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / NORTH FIJI BASIN / DREDGE N17-88","","-22.77","-22.77","172.53","172.53","SAQ","-2360","-2800","s_88/14 [4553]","BONINITE [4553]","","","","","","","","","VOL","","","F","","WR [4553] ","68.87","0.73","","14.61","","","","5.48","4.84","1.28","0.14","","1.07","3.63","0.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112752",
"[4553]","CONVERGENT MARGIN","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / NORTH FIJI BASIN / DREDGE N17-76","","-23.1","-23.1","172.47","172.47","SAQ","-6200","-6280","s_76/39 [4553]","BONINITE [4553]","","","","","","","","","VOL","","","F","","WR [4553] ","59.72","0.49","","14.87","","","","8.74","8","3.46","0.1","","0.54","2.76","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112753",
"[4553]","CONVERGENT MARGIN","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / NORTH FIJI BASIN / DREDGE N17-105","","-22.53","-22.53","172.98","172.98","SAQ","-4040","-4620","s_105/1 [4553]","BONINITE [4553]","","","","","","","","","VOL","","","F","","WR [4553] ","54.82","0.42","","13.71","","","","9.55","10.99","6.76","0.18","","0.44","1.9","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112754",
"[6778][6759]","INTRAPLATE VOLCANICS","NEW ZEALAND / SOUTH ISLAND / TAKAKA TERRANE / DEVIL RIVER VOLCANICS","COBB IGNEOUS COMPLEX","-40.87","-40.87","172.82","172.82","SAE","","","s_NZ-195A [6778]","BONINITE [6778]","","","","CAMBRIAN [6778]","","","","","VOL","","","","","WR [6778] ","47.3","0.04","","15.2","","1.06","3.85","10.52","13.82","13.2","0.18","","0.02","0.11","0.01","4.88","","","","0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","","84","1458","","","44","240","","","","","","","","","","0.69","2.8","0.27","","","","","","","","","","","","","","0.28","0.31","0.052","0.18","0.055","0.071","0.079","0.016","0.1","0.028","0.082","0.012","0.088","0.014","0","0.05","","","","","","","","","","","0.022","0","","","","","","","","","","","","","","","","","","","","","","","","","119123",
"[6778][6759]","INTRAPLATE VOLCANICS","NEW ZEALAND / SOUTH ISLAND / TAKAKA TERRANE / DEVIL RIVER VOLCANICS","COBB IGNEOUS COMPLEX","-40.87","-40.87","172.82","172.82","SAE","","","s_NZ-330 [6778]","BONINITE [6778]","","","","CAMBRIAN [6778]","","","","","VOL","","","","","WR [6778] ","53.1","0.27","","14.9","","2.54","7.13","4.71","5.18","7.64","0.16","","0.02","5.32","0.023","3.51","","","","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","","232","168","","","43","73","","","","","","","","","","5.4","15","0.59","","","","","","","","","","","","","","1.1","2.9","0.41","1.9","0.6","0.24","0.72","0.14","1","0.25","0.7","0.11","0.76","0.12","0.31","0.066","","","","","","","","","","","0.32","0.13","","","","","","","","","","","","","","","","","","","","","","","","","119124",
"[6778][6759]","INTRAPLATE VOLCANICS","NEW ZEALAND / SOUTH ISLAND / TAKAKA TERRANE / DEVIL RIVER VOLCANICS","COBB IGNEOUS COMPLEX","-40.87","-40.87","172.82","172.82","SAE","","","s_NZ-333 [6778]","BONINITE [6778]","","","","CAMBRIAN [6778]","","","","","VOL","","","","","WR [6778] ","60.4","0.16","","14.4","","0.79","3.99","1.12","6.05","6.63","0.11","","0.65","3.74","0.028","2.62","","","","0.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","","193","29","","","38","73","","","","","","","","","","2.8","12","0.46","","","","","","","","","","","","","","0.59","1.6","0.2","0.91","0.28","0.11","0.34","0.064","0.49","0.12","0.37","0.058","0.42","0.072","0.28","0.058","","","","","","","","","","","0.24","0.074","","","","","","","","","","","","","","","","","","","","","","","","","119125",
"[6778]","INTRAPLATE VOLCANICS","NEW ZEALAND / SOUTH ISLAND / TAKAKA TERRANE / DEVIL RIVER VOLCANICS","COBB IGNEOUS COMPLEX","-40.87","-40.87","172.82","172.82","SAE","","","s_NZ-335A [6778]","BONINITE [6778]","","","","CAMBRIAN [6778]","","","","","VOL","","","","","WR [6778] ","53.7","0.13","","12.2","","1.8","6.84","","9.22","10.51","0.18","","0.03","1.31","0.02","3.76","","","","0.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","","","619","","","","148","","","","","","","","","","3.3","14","0.47","","","","","","","","","","","","","","0.96","2.5","0.33","1.4","0.43","0.12","0.44","0.08","0.58","0.14","0.41","0.067","0.48","0.075","0.28","0.054","","","","","","","","","","","0.42","0.17","","","","","","","","","","","","","","","","","","","","","","","","","119126",
"[6778]","INTRAPLATE VOLCANICS","NEW ZEALAND / SOUTH ISLAND / TAKAKA TERRANE / DEVIL RIVER VOLCANICS","COBB IGNEOUS COMPLEX","-40.87","-40.87","172.82","172.82","SAE","","","s_NZ-337 [6778]","BONINITE [6778]","","","","CAMBRIAN [6778]","","","","","VOL","","","","","WR [6778] ","47.5","0.07","","17.2","","1.44","5.51","","14.19","9.27","0.16","","0.04","0.83","0.011","3.48","","","","0.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","","","495","","","","123","","","","","","","","0.329","126","1.15","5.4","0.35","","","","","","","","","","","","","","0.32","0.69","0.09","0.343","0.109","0.063","0.15","0.03","0.22","0.052","0.15","0.025","0.17","0.026","0.07","0.033","","","","","","","","","","","0.101","0.071","0.512599","","","0.707267","","","","","","","","","","","","","","","","","","","","","119127",
"[6778][6759]","INTRAPLATE VOLCANICS","NEW ZEALAND / SOUTH ISLAND / TAKAKA TERRANE / DEVIL RIVER VOLCANICS","COBB IGNEOUS COMPLEX","-40.87","-40.87","172.82","172.82","SAE","","","s_NZ-351 [6778]","BONINITE [6778]","","","","CAMBRIAN [6778]","","","","","VOL","","","","","WR [6778] ","49","0.68","","17.5","","2.46","8.38","10.72","10.17","4.11","0.2","","0.04","1.1","0.022","4.3","","","","2.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","","243","76","","","37","46","","","","","","","","","","5.5","23","1.3","","","","","","","","","","","","","","3","7.4","0.8","3.2","0.85","0.45","0.91","0.16","1.1","0.25","0.68","0.1","0.69","0.11","0.49","0.13","","","","","","","","","","","1.1","0.41","","","","","","","","","","","","","","","","","","","","","","","","","119128",
"[6778][6759]","INTRAPLATE VOLCANICS","NEW ZEALAND / SOUTH ISLAND / TAKAKA TERRANE / DEVIL RIVER VOLCANICS","COBB IGNEOUS COMPLEX","-40.87","-40.87","172.82","172.82","SAE","","","s_NZ-360 [6778]","BONINITE [6778]","","","","CAMBRIAN [6778]","","","","","VOL","","","","","WR [6778] ","50.1","0.14","","16.4","","0.9","4.75","","12.03","8.63","0.13","","0.16","2.76","0.022","2.67","","","","0.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","","159","203","","","36","137","","","","","","","","2.07","84.2","3.1","13","0.51","","","","","","","","","","","","","","1.02","2.2","0.31","1.16","0.326","0.1","0.4","0.074","0.53","0.13","0.38","0.06","0.42","0.071","0.25","0.044","","","","","","","","","","","0.27","0.12","0.512503","","","0.707538","","","","","","","","","","","","","","","","","","","","","119131",
"[6778][6759]","INTRAPLATE VOLCANICS","NEW ZEALAND / SOUTH ISLAND / TAKAKA TERRANE / DEVIL RIVER VOLCANICS","COBB IGNEOUS COMPLEX","-40.87","-40.87","172.82","172.82","SAE","","","s_NZ-376/1 [6778]","BONINITE [6778]","","","","CAMBRIAN [6778]","","","","","VOL","","","","","WR [6778] ","77.8","0.16","","12.2","","0.1","1.03","","1.02","0.57","0.02","","1.8","5.02","0.035","0.58","","","","0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","17","6","","","0","7","","","","","","","","26.3","122","12","59","6.4","","","","","","","","","","","","","","13","32","3.1","11.1","2.28","0.28","1.9","0.32","1.9","0.4","1.14","0.18","1.3","0.19","1.99","0.47","","","","","","","","","3.7","","7","1.32","0.512177","","","0.710058","","20.61","","15.81","","40.03","","","","","","","","","","","","","","","119133",
"[6778][6759]","INTRAPLATE VOLCANICS","NEW ZEALAND / SOUTH ISLAND / TAKAKA TERRANE / DEVIL RIVER VOLCANICS","COBB IGNEOUS COMPLEX","-40.87","-40.87","172.82","172.82","SAE","","","s_NZ-387 [6778]","BONINITE [6778]","","","","CAMBRIAN [6778]","","","","","VOL","","","","","WR [6778] ","56.5","0.17","","9.9","","2.49","7.76","","5.28","10.08","0.18","","0.44","2.71","0.027","3.33","","","","0.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","","186","824","","","53","123","","","","","","","","","","4.5","20","0.6","","","","","","","","","","","","","","1.8","4.6","0.56","2.3","0.61","0.2","0.69","0.12","0.85","0.2","0.56","0.09","0.62","0.1","0.43","0.044","","","","","","","","","","","0.65","0.19","","","","","","","","","","","","","","","","","","","","","","","","","119134",
"[3117]","CONVERGENT MARGIN","IZU-BONIN ARC / BONIN (= OGASAWARA) ISLANDS / CHICHI-JIMA/TITI-ZIMA","","27.3","27.3","142.3","142.3","SAE","","","s_KN740-501 [3117]","BONINITE [3117]","","","","QUATERNARY [3117]","","","","","VOL","","","","","WR [3117] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","123244",
"[17294]","SEAMOUNT","IZU-BONIN ARC / HAHAJIMA / DREDGE D22","MIDDLE PART OF SEAMOUNT","26.367","26.367","142.95","142.983","SAQ","-1700","-1700","s_D22-52 [17294]","BONINITE, BRONZITE [17294]","","","","","","","","","VOL","","","","","WR [17294] ","55.88","0.13","","9.19","","","","8.44","6","16.88","0.16","","0.81","1.13","0.02","1.94","","","","","","","","","","","","","","","2.92","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.09","","135.39","1513.36","","","57.91","433.34","43.56","60.19","","","1.39","","","12.58","61.13","3.31","14.21","0.38","0.05","","","","","","","","","","","0.51","12.65","0.54","1.17","0.18","0.89","0.26","0.11","0.34","0.07","0.47","0.11","0.33","0.06","0.46","0.08","0.38","0.03","","","","","","","","","0.93","","0.08","0.07","","","","","","","","","","","","","","","","","","","","","","","","","1252600",
